0,0,0,127,127,127,0,0,0
0,0,106,127,0,127,127,127,0
0,127,127,127,128,127,105,127,0
127,127,127,127,128,127,127,104,128
127,127,103,127,127,127,127,127,128
0,0,0,0,0,0,0,127,0
0,0,0,0,0,0,0,127,0
0,0,0,0,0,0,0,127,0
0,0,0,0,0,0,0,120,0
0,0,0,0,0,0,0,127,127
0,0,0,0,0,0,0,0,127
0,0,0,0,0,0,0,127,127
0,0,0,0,0,127,128,127,0
0,0,0,127,127,127,128,127,0
0,0,0,127,127,127,0,0,0
0,0,0,127,127,127,0,0,0
0,0,0,124,127,127,0,0,0
0,0,0,127,127,127,0,0,0
0,0,0,127,127,107,0,0,0
0,0,127,127,127,0,0,0,0
0,0,127,108,127,0,0,0,0
0,0,127,127,111,0,0,0,0
