0,0,0,127,127,128,0,0,129,129,127,57,0,0
0,0,0,127,127,128,127,127,129,32,127,127,24,0
0,0,0,0,0,0,127,0,0,0,0,0,0,0
0,127,127,127,127,127,127,22,127,127,127,127,127,127
127,127,0,127,127,0,127,0,127,30,0,0,127,0
127,42,0,127,127,0,127,0,127,127,0,128,127,0
127,127,127,127,43,0,127,0,127,127,127,128,127,0
0,0,0,0,0,0,127,0,0,0,127,0,0,0
51,127,127,127,127,127,127,127,31,127,127,127,0,0
0,127,29,0,0,0,127,0,0,0,39,127,0,0
0,127,127,127,128,23,127,0,0,127,128,127,0,0
0,0,127,28,128,127,127,0,0,127,128,0,0,0
0,127,127,127,0,0,0,0,40,127,41,0,0,0
127,127,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
