0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,129,129,129,0,128,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,127,129,129,129,127,128,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,92,127,127,127,127,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,127,127,127,127,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,127,127,98,127,0,0,0,94,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,127,100,0,0,127,93,127,128,0,0,0,0,0,0,0,0
0,0,0,0,0,99,127,127,0,0,127,127,127,128,127,127,0,0,0,0,0,0
0,0,0,0,0,0,128,127,0,0,127,82,0,0,129,129,0,0,0,0,0,0
0,0,0,0,0,0,128,127,91,0,127,127,0,127,129,129,0,0,0,0,0,0
127,102,127,127,101,127,127,127,127,127,127,127,81,127,88,87,127,127,127,127,127,127
127,127,127,127,127,127,127,127,127,127,127,127,127,131,131,131,131,131,127,127,127,127
127,127,127,127,127,127,127,90,127,89,127,127,127,131,131,83,131,131,127,127,127,127
